Espèce,Numéro nomenclatural,Nom retenu,Numéro nomenclatural nom retenu,Numéro taxonomique,Famille,Referentiel taxonomique,Commune,Identifiant Commune,Date,Lieu-dit,Station,Milieu,Notes,Latitude,Longitude,Altitude,Référentiel Géographique,Lumière,Température,Continentalité,Humidité Atmosphérique,Humidité,Réaction (pH),Nutriments,Salinité,Texture,Matière Organique,Code Catminat,Syntaxon,ext:personneStructure,ext:personneService,ext:personneFonction,ext:adresse,ext:latitudeDebutRue,ext:longitudeDebutRue,ext:latitudeFinRue,ext:longitudeFinRue,ext:typoUrbaine,ext:revetementSol,ext:presenceZoneVegetalise,ext:hauteurBatimentAvoisinant,ext:intensiteGestion,ext:periodiciteTraitementPhyto,ext:itineraireGestion,ext:dateDerniereIntervention,ext:hauteurPlante,ext:resistanceTraitementPhyto,ext:vitesseCroissance,ext:perceptionTechnicien,ext:perceptionRiverainMauvaise,ext:coteRue,ext:apparence
Platanus x hispanica Mill. ex Münchh.,50147,Platanus x hispanica Mill. ex Münchh.,50147,4109,Platanaceae,bdtfx,Montpellier,34,2011/04/12,,,,,,,,WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platanus x hispanica Mill. ex Münchh.,50147,Platanus x hispanica Mill. ex Münchh.,50147,4109,Platanaceae,bdtfx,Montpellier,34,2011/04/12,,,,,,,,WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platanus x hispanica Mill. ex Münchh.,50147,Platanus x hispanica Mill. ex Münchh.,50147,4109,Platanaceae,bdtfx,Montpellier,34,2011/04/12,,,,,,,,WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platanus x hispanica Mill. ex Münchh.,50147,Platanus x hispanica Mill. ex Münchh.,50147,4109,Platanaceae,bdtfx,Montpellier,34,2011/04/12,,,,,,,,WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platanus x hispanica Mill. ex Münchh.,50147,Platanus x hispanica Mill. ex Münchh.,50147,4109,Platanaceae,bdtfx,Montpellier,34,2011/04/12,,,,,,,,WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platanus x hispanica Mill. ex Münchh.,50147,Platanus x hispanica Mill. ex Münchh.,50147,4109,Platanaceae,bdtfx,Montpellier,34,2011/04/12,,,,,,,,WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platanus x hispanica Mill. ex Münchh.,50147,Platanus x hispanica Mill. ex Münchh.,50147,4109,Platanaceae,bdtfx,Montpellier,34,2011/04/12,,,,,,,,WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platanus x hispanica Mill. ex Münchh.,50147,Platanus x hispanica Mill. ex Münchh.,50147,4109,Platanaceae,bdtfx,Montpellier,34,2011/04/12,,,,,,,,WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platanus x hispanica Mill. ex Münchh.,50147,Platanus x hispanica Mill. ex Münchh.,50147,4109,Platanaceae,bdtfx,Montpellier,34,2011/04/12,,,,,,,,WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platanus x hispanica Mill. ex Münchh.,50147,Platanus x hispanica Mill. ex Münchh.,50147,4109,Platanaceae,bdtfx,Montpellier,34,2011/04/12,,,,,,,,WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platanus x hispanica Mill. ex Münchh.,50147,Platanus x hispanica Mill. ex Münchh.,50147,4109,Platanaceae,bdtfx,Montpellier,34,2011/04/12,,,,,,,,WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platanus x hispanica Mill. ex Münchh.,50147,Platanus x hispanica Mill. ex Münchh.,50147,4109,Platanaceae,bdtfx,Montpellier,34,2011/04/12,,,,,,,,WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ficus carica L.,75134,Ficus carica L.,75134,30126,Moraceae,bdtfx,Montpellier,34,2011/04/12,,,,,,,,WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cercis siliquastrum L.,75048,Cercis siliquastrum L.,75048,30040,Fabaceae,bdtfx,Montpellier,34,2011/04/12,,,,,,,,WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corylus avellana L.,19097,Corylus avellana L.,19097,1329,Betulaceae,bdtfx,Montpellier,34,2011/04/12,,,,,,,,WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cercis siliquastrum L.,75048,Cercis siliquastrum L.,75048,30040,Fabaceae,bdtfx,Montpellier,34,2011/04/12,,,,,,,,WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aesculus hippocastanum L.,1053,Aesculus hippocastanum L.,1053,3465,Sapindaceae,bdtfx,Montpellier,34,2011/04/12,,,,,,,,WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broussonetia papyrifera (L.) Vent.,11280,Broussonetia papyrifera (L.) Vent.,11280,3846,Moraceae,bdtfx,Montpellier,34,2011/04/12,,Agropolis,,,,,,WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crataegus monogyna Jacq.,19472,Crataegus monogyna Jacq.,19472,4721,Rosaceae,bdtfx,Montpellier,34,2011/04/12,,Agropolis,,,,,,WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aesculus pavia L.,1050,Aesculus pavia L.,1050,8201,Sapindaceae,bdtfx,Montpellier,34,2011/04/16,,Boutonet,,Jardin privé.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celtis australis L.,14954,Celtis australis L.,14954,5634,Cannabaceae,bdtfx,Montpellier,34,2011/04/19,,Agropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotinus coggygria Scop.,19137,Cotinus coggygria Scop.,19137,54,Anacardiaceae,bdtfx,Montpellier,34,2011/04/20,,Agropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cistus x purpureus Lam.,77035,Cistus x purpureus Lam.,77035,31095,Cistaceae,bdtfx,Montpellier,34,2011/04/12,,,,,,,,WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robinia pseudoacacia L.,56245,Robinia pseudoacacia L.,56245,3124,Fabaceae,bdtfx,Montpellier,34,2011/04/12,,,,,,,,WGS84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robinia pseudoacacia L.,56245,Robinia pseudoacacia L.,56245,3124,Fabaceae,bdtfx,Montpellier,34,2011/04/15,,Les Arceaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aesculus hippocastanum L.,1053,Aesculus hippocastanum L.,1053,3465,Sapindaceae,bdtfx,Montpellier,34,2011/04/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cercis siliquastrum L.,75048,Cercis siliquastrum L.,75048,30040,Fabaceae,bdtfx,Montpellier,34,2011/04/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,2088,Ailanthus altissima (Mill.) Swingle,2088,5537,Simaroubaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crataegus monogyna Jacq.,19472,Crataegus monogyna Jacq.,19472,4721,Rosaceae,bdtfx,Montpellier,34,2011/04/24,,Agropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broussonetia papyrifera (L.) Vent.,11280,Broussonetia papyrifera (L.) Vent.,11280,3846,Moraceae,bdtfx,Montpellier,34,2011/04/24,,Agropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broussonetia papyrifera (L.) Vent.,11280,Broussonetia papyrifera (L.) Vent.,11280,3846,Moraceae,bdtfx,Montpellier,34,2011/04/24,,Agropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broussonetia papyrifera (L.) Vent.,11280,Broussonetia papyrifera (L.) Vent.,11280,3846,Moraceae,bdtfx,Montpellier,34,2011/04/24,,Agropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broussonetia papyrifera (L.) Vent.,11280,Broussonetia papyrifera (L.) Vent.,11280,3846,Moraceae,bdtfx,Montpellier,34,2011/04/24,,Agropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broussonetia papyrifera (L.) Vent.,11280,Broussonetia papyrifera (L.) Vent.,11280,3846,Moraceae,bdtfx,Montpellier,34,2011/04/24,,Agropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broussonetia papyrifera (L.) Vent.,11280,Broussonetia papyrifera (L.) Vent.,11280,3846,Moraceae,bdtfx,Montpellier,34,2011/04/24,,Agropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broussonetia papyrifera (L.) Vent.,11280,Broussonetia papyrifera (L.) Vent.,11280,3846,Moraceae,bdtfx,Montpellier,34,2011/04/24,,Agropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broussonetia papyrifera (L.) Vent.,11280,Broussonetia papyrifera (L.) Vent.,11280,3846,Moraceae,bdtfx,Montpellier,34,2011/04/24,,Agropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broussonetia papyrifera (L.) Vent.,11280,Broussonetia papyrifera (L.) Vent.,11280,3846,Moraceae,bdtfx,Montpellier,34,2011/04/24,,Agropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broussonetia papyrifera (L.) Vent.,11280,Broussonetia papyrifera (L.) Vent.,11280,3846,Moraceae,bdtfx,Montpellier,34,2011/04/24,,Agropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broussonetia papyrifera (L.) Vent.,11280,Broussonetia papyrifera (L.) Vent.,11280,3846,Moraceae,bdtfx,Montpellier,34,2011/04/24,,Agropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broussonetia papyrifera (L.) Vent.,11280,Broussonetia papyrifera (L.) Vent.,11280,3846,Moraceae,bdtfx,Montpellier,34,2011/04/24,,Agropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broussonetia papyrifera (L.) Vent.,11280,Broussonetia papyrifera (L.) Vent.,11280,3846,Moraceae,bdtfx,Montpellier,34,2011/04/24,,Agropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broussonetia papyrifera (L.) Vent.,11280,Broussonetia papyrifera (L.) Vent.,11280,3846,Moraceae,bdtfx,Montpellier,34,2011/04/24,,Agropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broussonetia papyrifera (L.) Vent.,11280,Broussonetia papyrifera (L.) Vent.,11280,3846,Moraceae,bdtfx,Montpellier,34,2011/04/24,,Agropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broussonetia papyrifera (L.) Vent.,11280,Broussonetia papyrifera (L.) Vent.,11280,3846,Moraceae,bdtfx,Montpellier,34,2011/04/24,,Agropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broussonetia papyrifera (L.) Vent.,11280,Broussonetia papyrifera (L.) Vent.,11280,3846,Moraceae,bdtfx,Montpellier,34,2011/04/24,,Agropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broussonetia papyrifera (L.) Vent.,11280,Broussonetia papyrifera (L.) Vent.,11280,3846,Moraceae,bdtfx,Montpellier,34,2011/04/24,,Agropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broussonetia papyrifera (L.) Vent.,11280,Broussonetia papyrifera (L.) Vent.,11280,3846,Moraceae,bdtfx,Montpellier,34,2011/04/24,,Agropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broussonetia papyrifera (L.) Vent.,11280,Broussonetia papyrifera (L.) Vent.,11280,3846,Moraceae,bdtfx,Montpellier,34,2011/04/24,,Agropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broussonetia papyrifera (L.) Vent.,11280,Broussonetia papyrifera (L.) Vent.,11280,3846,Moraceae,bdtfx,Montpellier,34,2011/04/24,,Agropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broussonetia papyrifera (L.) Vent.,11280,Broussonetia papyrifera (L.) Vent.,11280,3846,Moraceae,bdtfx,Montpellier,34,2011/04/24,,Agropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broussonetia papyrifera (L.) Vent.,11280,Broussonetia papyrifera (L.) Vent.,11280,3846,Moraceae,bdtfx,Montpellier,34,2011/04/24,,Agropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broussonetia papyrifera (L.) Vent.,11280,Broussonetia papyrifera (L.) Vent.,11280,3846,Moraceae,bdtfx,Montpellier,34,2011/04/24,,Agropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broussonetia papyrifera (L.) Vent.,11280,Broussonetia papyrifera (L.) Vent.,11280,3846,Moraceae,bdtfx,Montpellier,34,2011/04/24,,Agropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broussonetia papyrifera (L.) Vent.,11280,Broussonetia papyrifera (L.) Vent.,11280,3846,Moraceae,bdtfx,Montpellier,34,2011/04/24,,Agropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broussonetia papyrifera (L.) Vent.,11280,Broussonetia papyrifera (L.) Vent.,11280,3846,Moraceae,bdtfx,Montpellier,34,2011/04/24,,Agropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broussonetia papyrifera (L.) Vent.,11280,Broussonetia papyrifera (L.) Vent.,11280,3846,Moraceae,bdtfx,Montpellier,34,2011/04/24,,Agropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broussonetia papyrifera (L.) Vent.,11280,Broussonetia papyrifera (L.) Vent.,11280,3846,Moraceae,bdtfx,Montpellier,34,2011/04/24,,Agropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broussonetia papyrifera (L.) Vent.,11280,Broussonetia papyrifera (L.) Vent.,11280,3846,Moraceae,bdtfx,Montpellier,34,2011/04/24,,Agropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broussonetia papyrifera (L.) Vent.,11280,Broussonetia papyrifera (L.) Vent.,11280,3846,Moraceae,bdtfx,Montpellier,34,2011/04/24,,Agropolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pistacia lentiscus L.,49751,Pistacia lentiscus L.,49751,55,Anacardiaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pistacia lentiscus L.,49751,Pistacia lentiscus L.,49751,55,Anacardiaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pistacia lentiscus L.,49751,Pistacia lentiscus L.,49751,55,Anacardiaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pistacia lentiscus L.,49751,Pistacia lentiscus L.,49751,55,Anacardiaceae,bdtfx,Montpellier,34,2011/04/24,,Bois de Montmort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
