CODE;DESIGNATION;CODE CATEG;CATEGORIE;CODE CAT ERP;CATEGORIE ERP;CODE TYPE ERP;TYPE ERP;CODE ACCESS;NUM VOIRIE;RUE;ADR2;ADR3;PROPRIO;CDRUE;LIB ACCESS;GROUPE ERP
933;ECOLE ELEMENTAIRE LEOPOLD SEDAR SENGHOR;SCOE;SCOLAIRE ELEMENTAIRE;III;3ème catégorie (300 < effectif <= 700);R;Etab. d'enseignement sans hébergement;5;26;RUE DE BOLOGNE;NULL;NULL;VILLE;603;simple;ENSEIGNEMENT
1685;ENSEMBLE MAISON POUR TOUS LEO LAGRANGE;DIVERS;MULTI - AFFECTATION;V;5ème catégorie;W;Administrations, banques, bureaux;6;155;AVENUE DE BOLOGNE;NULL;NULL;VILLE;603;lourde;TOUT PUBLIC
41503;THEATRE JEAN VILAR;CULTURE;EQUIPEMENT CULTUREL;III;3ème catégorie (300 < effectif <= 700);L;Salles usage auditions, conférences, ...;7;155;AVENUE DE BOLOGNE;NULL;NULL;NULL;603;complexe;TOUT PUBLIC
41153;ECOLE PRIMAIRE OLYMPE DE GOUGE;SCO;SCOLAIRE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;1371;RUE DE BUGAREL;NULL;NULL;VILLE;645;lourde;ENSEIGNEMENT
962;ECOLE ELEMENTAIRE PAUL LANGEVIN;SCOE;SCOLAIRE ELEMENTAIRE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;5;RUE DE CLEMENTVILLE;NULL;NULL;VILLE;795;lourde;ENSEIGNEMENT
39350;COLLEGE FONT CARRADE;SCO;SCOLAIRE;III;3ème catégorie (300 < effectif <= 700);R;Etab. d'enseignement sans hébergement;6;653;RUE DE FONT CARRADE;NULL;NULL;NULL;1044;lourde;ENSEIGNEMENT
1388;PALAIS DES SPORTS PIERRE DE COUBERTIN;EQUSP;EQUIPEMENT SPORTIFS;I;1ère catégorie (effectif > 1500);X;Etablissements sportifs couverts;6;25;RUE DE GENES;NULL;NULL;VILLE;1135;lourde;SPORTS
1696;MAISON POUR TOUS BORIS VIAN;MPT;MAISON POUR TOUS;IV;4ème catégorie (effectif <= 300);L;Salles usage auditions, conférences, ...;6;14;RUE DE L'AMETHYSTE;NULL;NULL;VILLE;470;lourde;ASSOCIATIF
1597;GYMNASE ALAIN COLAS;EQUSP;EQUIPEMENT SPORTIFS;IV;4ème catégorie (effectif <= 300);X;Etablissements sportifs couverts;6;227;RUE DE L'ARNEL;NULL;NULL;VILLE;505;lourde;SPORTS
39427;COLLEGE CROIX D'ARGENT;SCO;SCOLAIRE;II;2ème catégorie (700 < effectif <= 1500);R;Etab. d'enseignement sans hébergement;5;361;RUE DE L'ARNEL;NULL;NULL;NULL;505;simple;ENSEIGNEMENT
1270;ECOLE ELEMENTAIRE DIDEROT BATIMENT 1;SCOE;SCOLAIRE ELEMENTAIRE;IV;4ème catégorie (effectif <= 300);L;Salles usage auditions, conférences, ...;6;16;RUE DE LA BANDIDO;NULL;NULL;VILLE;541;lourde;ENSEIGNEMENT
1273;ECOLE MATERNELLE JEAN COCTEAU;SCOM;SCOLAIRE MATERNELLE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;16;RUE DE LA BANDIDO;NULL;NULL;VILLE;541;lourde;ENSEIGNEMENT
42558;CLUB AGE D' OR CCAS LA CAVALERIE;CCAS AO;CCAS CLUBS AGE D OR;V;5ème catégorie;J;Struct. accueil pers. âgées, handicapées;5;28;RUE DE LA CAVALERIE;NULL;NULL;NULL;715;simple;NULL
1068;ECOLE ELEMENTAIRE EUGENE POTTIER;SCOE;SCOLAIRE ELEMENTAIRE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;120;RUE DE LA JALADE;NULL;NULL;VILLE;1261;lourde;ENSEIGNEMENT
1071;ECOLE ELEMENTAIRE JEAN SIBELIUS;SCOE;SCOLAIRE ELEMENTAIRE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;120;RUE DE LA JALADE;NULL;NULL;VILLE;1261;lourde;ENSEIGNEMENT
1074;ECOLE MATERNELLE CHARLIE CHAPLIN;SCOM;SCOLAIRE MATERNELLE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;5;120;RUE DE LA JALADE;NULL;NULL;VILLE;1261;simple;ENSEIGNEMENT
1010;ECOLE MATERNELLE FLORIAN;SCOM;SCOLAIRE MATERNELLE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;49;RUE DE LA MEDITERRANEE;NULL;NULL;VILLE;1515;lourde;ENSEIGNEMENT
1077;ECOLE ELEMENTAIRE JULES SIMON;SCOE;SCOLAIRE ELEMENTAIRE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;45;RUE DE LA MEDITERRANEE;NULL;NULL;VILLE;1515;lourde;ENSEIGNEMENT
1399;EGLISE SAINTE EULALIE;CULT;LOCAUX CULTUELS;V;5ème catégorie;V;Etablissements de culte;5;12;RUE DE LA MERCI;NULL;NULL;VILLE;1520;simple;TOUT PUBLIC
1103;ECOLE ELEMENTAIRE LAMARTINE;SCOE;SCOLAIRE ELEMENTAIRE;V;5ème catégorie;R;Etab. d'enseignement sans hébergement;6;30;RUE DE LA VALFERE;NULL;NULL;VILLE;2098;lourde;ENSEIGNEMENT
1707;ENSEMBLE MAISON POUR TOUS MELINA MERCOURI;DIVERS;MULTI - AFFECTATION;III;3ème catégorie (300 < effectif <= 700);L;Salles usage auditions, conférences, ...;6;842;RUE DE LA VIELLE POSTE;NULL;NULL;VILLE;2129;lourde;TOUT PUBLIC
790;GYMNASE MICHELINE OSTERMEYER;EQUSP;EQUIPEMENT SPORTIFS;IV;4ème catégorie (effectif <= 300);X;Etablissements sportifs couverts;6;1473;RUE DE LAS SORBES;NULL;NULL;VILLE;1355;lourde;SPORTS
919;ECOLE ELEMENTAIRE ANDRE BOULLOCHE;SCOE;SCOLAIRE ELEMENTAIRE;III;3ème catégorie (300 < effectif <= 700);R;Etab. d'enseignement sans hébergement;6;123;RUE DE LAUSANNE;NULL;NULL;VILLE;1359;lourde;ENSEIGNEMENT
1230;ECOLE ELEMENTAIRE ROOSEVELT;SCOE;SCOLAIRE ELEMENTAIRE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;25;RUE DE LAUSANNE;NULL;NULL;VILLE;1359;lourde;ENSEIGNEMENT
1030;ECOLE ELEMENTAIRE HEIDELBERG;SCOE;SCOLAIRE ELEMENTAIRE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;310;RUE DE LIEGE;NULL;NULL;VILLE;1382;lourde;ENSEIGNEMENT
41157;IMMEUBLE LE CAPOULIE 6 RUE MAGUELONE (COPROPRIETE);DIVERS;MULTI - AFFECTATION;V;5ème catégorie;W;Administrations, banques, bureaux;6;6;RUE DE MAGUELONE;NULL;NULL;NULL;1426;lourde;TOUT PUBLIC
40658;COLLEGE MALBOSC ALCO;SCO;SCOLAIRE;II;2ème catégorie (700 < effectif <= 1500);R;Etab. d'enseignement sans hébergement;6;200;RUE DE MALBOSC;NULL;NULL;NULL;1431;lourde;ENSEIGNEMENT
42554;CLUB AGE D' OR LEMASSON;CCAS AO;CCAS CLUBS AGE D OR;V;5ème catégorie;J;Struct. accueil pers. âgées, handicapées;5;3;RUE DE RIPOLL;NULL;NULL;NULL;1882;simple;NULL
1098;ECOLE MATERNELLE PAUL ELUARD;SCOM;SCOLAIRE MATERNELLE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;289;RUE DE SAINT HILAIRE;NULL;NULL;VILLE;1941;lourde;ENSEIGNEMENT
1100;ECOLE ELEMENTAIRE JEAN MACE;SCOE;SCOLAIRE ELEMENTAIRE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;289;RUE DE SAINT HILAIRE;NULL;NULL;VILLE;1941;lourde;ENSEIGNEMENT
1102;RESTAURANT SCOLAIRE GS LA RAUZE;SCO;SCOLAIRE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;289;RUE DE SAINT HILAIRE;NULL;NULL;VILLE;1941;lourde;ENSEIGNEMENT
1508;DOMAINE DE LA POMPIGNANE / RR 33;DOM;DOMAINE;III;3ème catégorie (300 < effectif <= 700);L;Salles usage auditions, conférences, ...;6;738;RUE DE SALAISON;NULL;NULL;VILLE DE MONTPELLIER;1978;lourde;TOUT PUBLIC
40762;EHPAD - HOTEL ET RESIDENCE PIERRE LAROQUE (HEBERGEMENT PERSONNES AGEES);CCAS A;CCAS AUTRES LOCAUX;IV;4ème catégorie (effectif <= 300);J;Struct. accueil pers. âgées, handicapées;6;830;RUE DE SALAISON;NULL;NULL;NULL;1978;lourde;NULL
908;ECOLE MATERNELLE PABLO NERUDA;SCOM;SCOLAIRE MATERNELLE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;53;RUE DE SALAMANQUE;NULL;NULL;VILLE;1979;lourde;ENSEIGNEMENT
1326;GYMNASE LES ARTS;EQUSP;EQUIPEMENT SPORTIFS;III;3ème catégorie (300 < effectif <= 700);X;Etablissements sportifs couverts;6;33;RUE DE SUBSTANTION;NULL;NULL;VILLE;2025;lourde;SPORTS
41537;ROCKSTORE;CULTURE;EQUIPEMENT CULTUREL;II;2ème catégorie (700 < effectif <= 1500);P;Salles de danse et salles de jeux;6;20;RUE DE VERDUN;NULL;NULL;VILLE;2110;lourde;TOUT PUBLIC
1494;ECOLE ELEMENTAIRE JOSEPH DELTEIL;SCOE;SCOLAIRE ELEMENTAIRE;III;3ème catégorie (300 < effectif <= 700);R;Etab. d'enseignement sans hébergement;5;9999;RUE DES ARAUCARIAS;NULL;NULL;VILLE;493;simple;ENSEIGNEMENT
2121;ENSEMBLE MAISON POUR TOUS FRANCOIS VILLON;DIVERS;MULTI - AFFECTATION;III;3ème catégorie (300 < effectif <= 700);L;Salles usage auditions, conférences, ...;5;55;RUE DES ARAUCARIAS;NULL;NULL;VILLE;493;simple;TOUT PUBLIC
1688;MAISON POUR TOUS FANFONNE GUILLERME;MPT;MAISON POUR TOUS;V;5ème catégorie;L;Salles usage auditions, conférences, ...;5;33;RUE DES AVANT-MONTS;NULL;NULL;VILLE;526;simple;ASSOCIATIF
41715;FOYER BUISSONADE EX CAMPERIOLS;CCAS A;CCAS AUTRES LOCAUX;V;5ème catégorie;L;Salles usage auditions, conférences, ...;6;16;RUE DES AVELANIERS;NULL;NULL;NULL;527;lourde;NULL
966;ECOLE MATERNELLE GOETHE;SCOM;SCOLAIRE MATERNELLE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;3;RUE DES CORONILLES;NULL;NULL;VILLE;838;lourde;ENSEIGNEMENT
1248;ECOLE MATERNELLE PAPE CARPENTIER;SCOM;SCOLAIRE MATERNELLE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;12;RUE DES ECOLES;NULL;NULL;VILLE;936;lourde;ENSEIGNEMENT
42561;CLUB AGE D' OR CCAS DOCTEUR BONNET;CCAS AO;CCAS CLUBS AGE D OR;V;5ème catégorie;J;Struct. accueil pers. âgées, handicapées;6;34;RUE DES ETUVES;NULL;NULL;NULL;995;lourde;NULL
38923;COLLEGE GERARD PHILIPPES;SCO;SCOLAIRE;III;3ème catégorie (300 < effectif <= 700);R;Etab. d'enseignement sans hébergement;6;2;RUE DES MARRONNIERS;NULL;NULL;NULL;1463;lourde;ENSEIGNEMENT
1703;MAISON POUR TOUS EMMA CALVE;MPT;MAISON POUR TOUS;V;5ème catégorie;L;Salles usage auditions, conférences, ...;5;4;RUE DES POIRIERS;NULL;NULL;VILLE;1772;simple;ASSOCIATIF
943;ECOLE ELEMENTAIRE DOCTEUR CALMETTE;SCOE;SCOLAIRE ELEMENTAIRE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;5;147;RUE DES QUATRE SEIGNEURS;NULL;NULL;VILLE;1833;simple;ENSEIGNEMENT
948;ECOLE MATERNELLE AGRIPPA D'AUBIGNE;SCOM;SCOLAIRE MATERNELLE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;5;147;RUE DES QUATRE SEIGNEURS;NULL;NULL;VILLE;1833;simple;ENSEIGNEMENT
1393;ENSEMBLE MAISON POUR TOUS ESCOUTAIRE;MPT;MAISON POUR TOUS;III;3ème catégorie (300 < effectif <= 700);L;Salles usage auditions, conférences, ...;5;67;RUE DES RAZETEURS;NULL;NULL;VILLE;1854;simple;ASSOCIATIF
1506;GYMNASE GEORGES BUSNEL;EQUSP;EQUIPEMENT SPORTIFS;III;3ème catégorie (300 < effectif <= 700);X;Etablissements sportifs couverts;6;67;RUE DES RAZETEURS;NULL;NULL;VILLE;1854;lourde;SPORTS
1022;ECOLE ELEMENTAIRE GAMBETTA;SCOE;SCOLAIRE ELEMENTAIRE;V;5ème catégorie;R;Etab. d'enseignement sans hébergement;6;20;RUE DES SOLDATS;NULL;NULL;VILLE;2014;lourde;ENSEIGNEMENT
1689;MAISON POUR TOUS JACQUES PREVERT;MPT;MAISON POUR TOUS;V;5ème catégorie;L;Salles usage auditions, conférences, ...;6;13;RUE DES SUREAUX;NULL;NULL;VILLE;2028;lourde;ASSOCIATIF
866;ECOLE MATERNELLE CAMOENS;SCOM;SCOLAIRE MATERNELLE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;2;RUE DES TOURTERELLES;NULL;NULL;VILLE;2068;lourde;ENSEIGNEMENT
871;ECOLE ELEMENTAIRE FREUD;SCOE;SCOLAIRE ELEMENTAIRE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;2;RUE DES TOURTERELLES;NULL;NULL;VILLE;2068;lourde;ENSEIGNEMENT
993;ECOLE ELEMENTAIRE CONDORCET;SCOE;SCOLAIRE ELEMENTAIRE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;13;RUE DU FAUBOURG BOUTONNET;NULL;NULL;VILLE;1007;lourde;ENSEIGNEMENT
42547;MAISON GABRIELA MISTRAL;CULT;LOCAUX CULTUELS;V;5ème catégorie;W;Administrations, banques, bureaux;5;535;RUE DU PILORY;NULL;NULL;NULL;1745;simple;TOUT PUBLIC
42549;GYMNASE ARTHUR RIMBAUD;EQUSP;EQUIPEMENT SPORTIFS;III;3ème catégorie (300 < effectif <= 700);X;Etablissements sportifs couverts;5;672;RUE DU PILORY;NULL;NULL;NULL;1745;simple;SPORTS
38931;LYCEE LEONARD DE VINCI;SCO;SCOLAIRE;III;3ème catégorie (300 < effectif <= 700);R;Etab. d'enseignement sans hébergement;8;340;RUE DU PROFESSEUR BLAYAC;NULL;NULL;NULL;1808;conforme;ENSEIGNEMENT
39237;LYCEE JEAN MONNET;SCO;SCOLAIRE;II;2ème catégorie (700 < effectif <= 1500);R;Etab. d'enseignement sans hébergement;7;101;RUE DU PROFESSEUR BLAYAC;NULL;NULL;NULL;1808;complexe;ENSEIGNEMENT
1105;ECOLE MATERNELLE PASTEUR;SCOM;SCOLAIRE MATERNELLE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;15;RUE DU SAINT SEPULCRE;NULL;NULL;VILLE;1965;lourde;ENSEIGNEMENT
41833;ECOLES ELEMENTAIRE EMILE COMBES / MATERNELLE VICTOR DURUY;SCO;SCOLAIRE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;20;RUE EDMOND LAUTARD;NULL;NULL;VILLE;2651;lourde;ENSEIGNEMENT
42548;PETIT ALCO;ADM;LOCAUX ADMINISTRATIFS;V;5ème catégorie;W;Administrations, banques, bureaux;5;2;RUE EDMOND LAUTARD;NULL;NULL;NULL;2651;simple;ADMINISTRATION
1572;GYMNASE MIREILLE BESSIERE;EQUSP;EQUIPEMENT SPORTIFS;IV;4ème catégorie (effectif <= 300);X;Etablissements sportifs couverts;6;175;RUE EDOUARD VILLALONGA;NULL;NULL;VILLE;2938;lourde;SPORTS
1349;HOTEL BASCHY DU CAYLA;DIVERS;MULTI - AFFECTATION;V;5ème catégorie;R;Etab. d'enseignement sans hébergement;7;1;EMBOUQUE D'OR;NULL;NULL;VILLE;954;complexe;TOUT PUBLIC
1497;CRECHE PETIT PRINCE DE BOUTONNET - RUE EMILE LITTRE;CRECHE;CRECHE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;20;RUE EMILE LITTRE;NULL;NULL;VILLE;2773;lourde;PETITE ENFANCE
905;ECOLE ELEMENTAIRE AUGUSTE COMTE;SCOE;SCOLAIRE ELEMENTAIRE;V;5ème catégorie;R;Etab. d'enseignement sans hébergement;7;2;RUE EMILE ZOLA;NULL;NULL;VILLE;962;complexe;ENSEIGNEMENT
996;ECOLE MATERNELLE DOCTEUR ROUX;SCOM;SCOLAIRE MATERNELLE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;96;RUE FAUBOURG FIGUEROLLES;NULL;NULL;VILLE;1012;lourde;ENSEIGNEMENT
41255;ENSEMBLE IMMOBILIER CRECHE/MAISON DES SENIORS RUE F.FABRE;DIVERS;MULTI - AFFECTATION;V;5ème catégorie;R;Etab. d'enseignement sans hébergement;6;16;RUE FERDINAND FABRE;NULL;NULL;VILLE;1023;lourde;TOUT PUBLIC
41148;PARKING ARC DE TRIOMPHE;PARKPUB;PARKING PUBLIC;IV;4ème catégorie (effectif <= 300);PS;Parc de stationnement;6;3;RUE FOCH;NULL;NULL;VILLE;1043;lourde;STATIONNEMENT
1705;EX ENSEMBLE MPT FRANCOIS DE MALHERBE;DIVERS;MULTI - AFFECTATION;V;5ème catégorie;L;Salles usage auditions, conférences, ...;6;2;RUE FRANCOIS MALHERBE;NULL;NULL;ACM;1078;lourde;TOUT PUBLIC
41409;MAISON POUR TOUS ROSA LEE PARKS;MPT;MAISON POUR TOUS;II;2ème catégorie (700 < effectif <= 1500);L;Salles usage auditions, conférences, ...;8;10;RUE FRANCOIS HENRY D'HARCOURT;NULL;NULL;VILLE;3265;conforme;ASSOCIATIF
42560;CLUB AGE D' OR CCAS LAURE MOULIN;CCAS AO;CCAS CLUBS AGE D OR;V;5ème catégorie;J;Struct. accueil pers. âgées, handicapées;6;45;RUE FREDERIC BAZILLE;NULL;NULL;NULL;1087;lourde;NULL
884;ECOLE MATERNELLE ANATOLE FRANCE;SCOM;SCOLAIRE MATERNELLE;V;5ème catégorie;R;Etab. d'enseignement sans hébergement;6;10;RUE GENERAL LAFON;NULL;NULL;VILLE;1127;lourde;ENSEIGNEMENT
1013;ECOLE MATERNELLE FRANCIS GARNIER;SCOM;SCOLAIRE MATERNELLE;V;5ème catégorie;R;Etab. d'enseignement sans hébergement;6;2;RUE GENERAL RENE;NULL;NULL;VILLE;1132;lourde;ENSEIGNEMENT
839;CRECHE EDELWEISS - RUE GENERAL RIU;CRECHE;CRECHE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;21;RUE GENERAL RIU;NULL;NULL;VILLE;1133;lourde;PETITE ENFANCE
1261;ECOLE ELEMENTAIRE PAUL BERT;SCOE;SCOLAIRE ELEMENTAIRE;V;5ème catégorie;R;Etab. d'enseignement sans hébergement;6;19;RUE GENERAL RIU;NULL;NULL;VILLE;1133;lourde;ENSEIGNEMENT
42556;CLUB AGE D' OR CCAS JACQUELINE MAILLAN;CCAS AO;CCAS CLUBS AGE D OR;V;5ème catégorie;J;Struct. accueil pers. âgées, handicapées;5;193;RUE GEORGES BRASSENS;NULL;NULL;NULL;1140;simple;NULL
1690;ENSEMBLE MPT ANDRE CHAMSON;DIVERS;MULTI - AFFECTATION;III;3ème catégorie (300 < effectif <= 700);L;Salles usage auditions, conférences, ...;5;105;RUE GUSTAVE EIFFEL;NULL;NULL;VILLE;2523;simple;TOUT PUBLIC
1344;GYMNASE MARCEL CERDAN;EQUSP;EQUIPEMENT SPORTIFS;III;3ème catégorie (300 < effectif <= 700);X;Etablissements sportifs couverts;7;20;RUE HEBERT;NULL;NULL;VILLE;1206;complexe;SPORTS
1311;ECOLE ELEMENTAIRE VOLTAIRE;SCOE;SCOLAIRE ELEMENTAIRE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;157;RUE HENRI SELLIER;NULL;NULL;VILLE;1213;lourde;ENSEIGNEMENT
1709;ENSEMBLE MPT PAULINE LAFONT;DIVERS;MULTI - AFFECTATION;V;5ème catégorie;R;Etab. d'enseignement sans hébergement;5;635;RUE JACQUE BOUNIN;NULL;NULL;VILLE;1254;simple;TOUT PUBLIC
1166;ECOLE MATERNELLE AVERROES;SCOM;SCOLAIRE MATERNELLE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;5;47;RUE JAUFRE RUDEL;NULL;NULL;VILLE;1271;simple;ENSEIGNEMENT
1169;ECOLE ELEMENTAIRE GALILEE;SCOE;SCOLAIRE ELEMENTAIRE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;45;RUE JAUFRE RUDEL;NULL;NULL;VILLE;1271;lourde;ENSEIGNEMENT
835;CRECHE ANTIGONE - RUE JEANNE D'ARC;CRECHE;CRECHE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;5;10;RUE JEANNE D'ARC;NULL;NULL;VILLE;1295;simple;PETITE ENFANCE
2000;CHAPELLE DE LA RESURRECTION CITEE GELY;CULTURE;EQUIPEMENT CULTUREL;III;3ème catégorie (300 < effectif <= 700);L;Salles usage auditions, conférences, ...;6;170;RUE JOACHIM DU BELLAY;NULL;NULL;VILLE;1308;lourde;TOUT PUBLIC
1324;GYMNASE JEAN RAMEL;EQUSP;EQUIPEMENT SPORTIFS;IV;4ème catégorie (effectif <= 300);X;Etablissements sportifs couverts;6;10;RUE JOSE MARIA DE HEREDIA;NULL;NULL;VILLE;1315;lourde;SPORTS
1471;ECOLES BLAISE PASCAL ET SARAH BERNHARDT;SCO;SCOLAIRE;III;3ème catégorie (300 < effectif <= 700);R;Etab. d'enseignement sans hébergement;6;100;RUE LOUIS LEPINE;NULL;NULL;VILLE;2316;lourde;ENSEIGNEMENT
41877;FOYER CARRIERA;CCAS A;CCAS AUTRES LOCAUX;V;5ème catégorie;N;Restaurants et débits de boissons;7;50;RUE LOUIS PERGAUD;NULL;NULL;NULL;2471;complexe;NULL
1784;CINEMA NESTOR BURMA;CULTURE;EQUIPEMENT CULTUREL;IV;4ème catégorie (effectif <= 300);L;Salles usage auditions, conférences, ...;8;2;RUE MARCELLIN ALBERT;NULL;NULL;VILLE;1443;conforme;TOUT PUBLIC
746;MAISON POUR TOUS FREDERIC CHOPIN;MPT;MAISON POUR TOUS;III;3ème catégorie (300 < effectif <= 700);L;Salles usage auditions, conférences, ...;6;1;RUE DU MARCHE AU BESTIAUX;NULL;NULL;VILLE;1444;lourde;ASSOCIATIF
41684;COLLEGE ARTHUR RIMBAUD;SCO;SCOLAIRE;II;2ème catégorie (700 < effectif <= 1500);R;Etab. d'enseignement sans hébergement;6;120;RUE MARIUS PETIPA;NULL;NULL;NULL;1454;lourde;ENSEIGNEMENT
1699;MAISON POUR TOUS JOSEPH RICOME;MPT;MAISON POUR TOUS;IV;4ème catégorie (effectif <= 300);L;Salles usage auditions, conférences, ...;6;7;RUE PAGES;NULL;NULL;VILLE;1634;lourde;ASSOCIATIF
1267;ECOLES MATERNELLE GENEVIEVE BON - ELEMENTAIRE LOUIS ARMSTRONG;SCO;SCOLAIRE;III;3ème catégorie (300 < effectif <= 700);R;Etab. d'enseignement sans hébergement;5;971;RUE PAUL RIMBAUD;NULL;NULL;VILLE;1676;simple;ENSEIGNEMENT
1138;ECOLE ELEMENTAIRE KUROSAWA;SCOE;SCOLAIRE ELEMENTAIRE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;5;400;RUE PIERRE CARDENAL;NULL;NULL;VILLE;1730;simple;ENSEIGNEMENT
1141;ECOLE MATERNELLE INDIRA GANDHI;SCOM;SCOLAIRE MATERNELLE;III;3ème catégorie (300 < effectif <= 700);R;Etab. d'enseignement sans hébergement;5;380;RUE PIERRE CARDENAL;NULL;NULL;VILLE;1730;simple;ENSEIGNEMENT
1496;SALLE NOGARET;PROT;LOCAUX PROTOCOLE;III;3ème catégorie (300 < effectif <= 700);L;Salles usage auditions, conférences, ...;5;20;RUE PITOT;NULL;NULL;VILLE;1754;simple;TOUT PUBLIC
65;STADE SABATHE;EQUSP;EQUIPEMENT SPORTIFS;I;1ère catégorie (effectif > 1500);PA;Etablissements de plein air;6;18;RUE SAINT CLEOPHAS;NULL;NULL;VILLE;1929;lourde;SPORTS
795;GYMNASE ROGER COUDERC;EQUSP;EQUIPEMENT SPORTIFS;III;3ème catégorie (300 < effectif <= 700);X;Etablissements sportifs couverts;5;18;RUE SAINT CLEOPHAS;NULL;NULL;VILLE;1929;simple;SPORTS
39731;FOYER LOGEMENT MARIE CAIZERGUES;CCAS A;CCAS AUTRES LOCAUX;V;5ème catégorie;U;Etablissements sanitaires;7;1;RUE SAINT VINCENT DE PAUL;NULL;NULL;NULL;1967;complexe;NULL
1763;CARRE SAINTE ANNE GALERIE D ART (ANCIENNE EGLISE SAINTE ANNE);CULTURE;EQUIPEMENT CULTUREL;V;5ème catégorie;Y;Musées;6;1;RUE SAINTE ANNE;NULL;NULL;VILLE;1968;lourde;TOUT PUBLIC
38944;COLLEGE MARCEL PAGNOL;SCO;SCOLAIRE;III;3ème catégorie (300 < effectif <= 700);R;Etab. d'enseignement sans hébergement;5;95;RUE TOPAZE;NULL;NULL;NULL;3108;simple;ENSEIGNEMENT
1091;ECOLE ELEMENTAIRE SPINOZA;SCOE;SCOLAIRE ELEMENTAIRE;III;3ème catégorie (300 < effectif <= 700);R;Etab. d'enseignement sans hébergement;6;110;RUE VIOLLET LE DUC;NULL;NULL;VILLE;2524;lourde;ENSEIGNEMENT
1094;ECOLE MATERNELLE JEANNE DEROIN;SCOM;SCOLAIRE MATERNELLE;III;3ème catégorie (300 < effectif <= 700);R;Etab. d'enseignement sans hébergement;6;88;RUE VIOLLET LE DUC;NULL;NULL;VILLE;2524;lourde;ENSEIGNEMENT
1564;ECOLE ELEMENTAIRE JULES VERNE;SCOE;SCOLAIRE ELEMENTAIRE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;6;127;RUE YEHUDI MENUHIN;NULL;NULL;VILLE;3157;lourde;ENSEIGNEMENT
42553;ANNEXE CCAS SQUARE DE CORTE;CCAS A;CCAS AUTRES LOCAUX;V;5ème catégorie;W;Administrations, banques, bureaux;6;60;SQUARE DE CORTE;NULL;NULL;NULL;837;lourde;NULL
1947;ENSEMBLE  VOLTAIRE;DIVERS;MULTI - AFFECTATION;III;3ème catégorie (300 < effectif <= 700);L;Salles usage auditions, conférences, ...;5;1;SQUARE JEAN MONNET;NULL;NULL;VILLE;2381;simple;TOUT PUBLIC
41779;HOTEL DE VILLE - CONSULS DE MER (PLACE GEORGES FRECHE);ADM;LOCAUX ADMINISTRATIFS;I;1ère catégorie (effectif > 1500);W;Administrations, banques, bureaux;8;1;PL GEORGES FRECHE;NULL;NULL;VILLE;3476;conforme;ADMINISTRATION
41782;VOLUME CRECHE ADELAIDE CAMBON - RESIDENCE CENTRAL PARC (VOLUME 18);CRECHE;CRECHE;IV;4ème catégorie (effectif <= 300);R;Etab. d'enseignement sans hébergement;8;1;PL GEORGES FRECHE;NULL;NULL;VILLE;3476;conforme;PETITE ENFANCE
